triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
001000_01111_000,y,0,787.282µs,591.302µs,2.159348ms,3.537932ms
1010111_01111_00,y,0,824.892µs,605.354µs,3.280565ms,4.710811ms
1011111_01000_00,y,0,795.278µs,409.474µs,1.716767ms,2.921519ms
001111_1011_0000,y,0,770.487µs,3.668µs,1.862µs,776.017µs
1100000_01111_00,y,0,789.458µs,554.204µs,2.204629ms,3.548291ms
0110000000_11_00,y,0,805.384µs,715.638µs,3.722413ms,5.243435ms
01100111_1011_00,y,0,849.661µs,766.106µs,4.39092ms,6.006687ms
010001111_111_00,y,0,780.445µs,613.239µs,2.572282ms,3.965966ms
00101000_01111_1,y,0,864.158µs,517.118µs,2.221886ms,3.603162ms
01011011011_00_1,y,0,953.966µs,631.83µs,3.227696ms,4.813492ms
0100111_010000_1,y,0,830.016µs,690.164µs,3.952386ms,5.472566ms
0101011111_11_00,y,0,828.108µs,653.112µs,3.326592ms,4.807812ms
011000_1011_0100,y,0,877.497µs,704.217µs,4.513444ms,6.095158ms
00111_00000_0111,y,0,785.331µs,598.438µs,2.257573ms,3.641342ms
011111011_0000_1,y,0,773.088µs,399.039µs,1.322483ms,2.49461ms
000100000_0000_1,y,0,764.155µs,460.008µs,1.654425ms,2.878588ms
011111_10111_000,y,0,769.854µs,494.019µs,1.874605ms,3.138478ms
0100100000_11_00,y,0,802.92µs,478.447µs,2.109577ms,3.390944ms
000100_0111_1011,y,0,843.025µs,426.384µs,2.061149ms,3.330558ms
010101111_000_11,y,0,821.679µs,821.775µs,3.327985ms,4.971439ms
0100000_10000_00,y,0,749.121µs,578.089µs,2.58ms,3.90721ms
00111_00100_0111,y,0,847.253µs,547.969µs,3.544899ms,4.940121ms
0111111_0100_111,y,0,776.094µs,446.98µs,2.001164ms,3.224238ms
011010000_111_00,y,0,784.324µs,637.442µs,2.709465ms,4.131231ms
000110000_0111_1,y,0,816.362µs,433.591µs,1.807673ms,3.057626ms
0111001111_11_00,y,0,838.966µs,640.117µs,4.018792ms,5.497875ms
0010111011_000_1,y,0,834.584µs,547.002µs,3.134665ms,4.516251ms
010000100_0111_1,y,0,825.753µs,467.329µs,2.04938ms,3.342462ms
01111111_1011_00,y,0,759.932µs,426.222µs,1.714508ms,2.900662ms
01010111_1011_00,y,0,925.835µs,773.045µs,4.847015ms,6.545895ms
01010011000_00_1,y,0,883.502µs,852.363µs,5.860051ms,7.595916ms
01001000_00100_1,y,0,890.69µs,623.3µs,3.74037ms,5.25436ms
0111101111_11_00,y,0,760.803µs,416.931µs,1.432494ms,2.610228ms
001110111_0111_1,y,0,807.317µs,565.275µs,3.149246ms,4.521838ms
011000_010000_00,y,0,835.62µs,801.178µs,4.253256ms,5.890054ms
001000000_0111_1,y,0,785.636µs,375.868µs,1.384688ms,2.546192ms
0011000100_000_1,y,0,821.636µs,542.714µs,3.240805ms,4.605155ms
000010000_0111_1,y,0,778.543µs,379.611µs,1.296641ms,2.454795ms
010100111_0111_1,y,0,855.769µs,832.167µs,5.449932ms,7.137868ms
01000000_00100_1,y,0,794.874µs,525.317µs,2.149265ms,3.469456ms
011100000_111_00,y,0,773.94µs,550.993µs,2.172984ms,3.497917ms
011000_0111_0000,y,0,798.222µs,660.482µs,3.03161ms,4.490314ms
010010111_0111_1,y,0,891.981µs,594.794µs,4.209227ms,5.696002ms
001100000_000_11,y,0,771.443µs,634.342µs,2.188503ms,3.594288ms
1101011_01000_00,y,0,855.664µs,541.761µs,2.501774ms,3.899199ms
010100000_011_00,y,0,845.826µs,755.7µs,4.258275ms,5.859801ms
01110111_111_000,y,0,759.102µs,440.286µs,1.843345ms,3.042733ms
0000000_001111_1,y,0,734.773µs,474.027µs,1.395744ms,2.604544ms
01111111_0000_11,y,0,727.865µs,384.017µs,1.135485ms,2.247367ms
0101111_010000_1,y,0,812.196µs,580.328µs,3.101327ms,4.493851ms
10000000_0111_00,y,0,759.039µs,532.349µs,1.743832ms,3.03522ms
01000000_1011_00,y,0,813.661µs,454.27µs,1.689093ms,2.957024ms
0101000100_000_1,y,0,857.742µs,683.305µs,3.343614ms,4.884661ms
0000000_011111_1,y,0,731.603µs,372.056µs,1.041657ms,2.145316ms
0110000_01000_11,y,0,794.236µs,623.691µs,3.235965ms,4.653892ms
0011000_011011_1,y,0,884.17µs,609.435µs,3.271466ms,4.765071ms
0111111_1111_000,y,0,741.771µs,443.321µs,1.401338ms,2.58643ms
01011111_111_000,y,0,814.826µs,1.01963ms,8.005188ms,9.839644ms
011011000_0100_1,y,0,890.806µs,760.506µs,4.640081ms,6.291393ms
0101000_001111_1,y,0,849.457µs,643.509µs,4.01414ms,5.507106ms
01100111_01000_1,y,0,837.264µs,731.842µs,4.416011ms,5.985117ms
1001111_01000_00,y,0,812.749µs,526.376µs,3.09175ms,4.430875ms
01101101000_00_1,y,0,910.971µs,633.362µs,4.014782ms,5.559115ms
010100000_111_00,y,0,776.811µs,760.631µs,2.3356ms,3.873042ms
010100000_0000_1,y,0,805.38µs,585.627µs,2.680902ms,4.071909ms
0100111_0000_011,y,0,817.819µs,786.007µs,4.066063ms,5.669889ms
