triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
00101111_010000_000,y,0,10.585013ms,113.638626ms,207.592011785s,207.716235424s
01000100000_1011_00,y,0,9.533428ms,146.39848ms,184.506468341s,184.662400249s
0110111001111_000_1,y,0,9.43675ms,143.710661ms,211.669762691s,211.822910102s
0111010111_001000_1,y,0,9.483192ms,134.11951ms,190.516171112s,190.659773814s
01000100100_0000_11,y,0,9.132067ms,137.844133ms,194.966551164s,195.113527364s
01001111011_0000_11,y,0,10.003384ms,138.525503ms,194.625975128s,194.774504015s
0101110111_000100_1,y,0,9.730726ms,139.192004ms,190.712545906s,190.861468636s
01101010111_00000_1,y,0,9.543687ms,127.514129ms,176.47648394s,176.613541756s
00100000000_01111_1,y,0,9.938817ms,175.753307ms,195.027637171s,195.213329295s
0101010100_010111_1,y,0,9.320135ms,95.290231ms,171.595724648s,171.700335014s
01001000_00100_1111,y,0,9.236468ms,137.39797ms,183.716793302s,183.86342774s
0100101010000_11_00,y,0,8.766588ms,116.580949ms,169.306983327s,169.432330864s
010111011000_011_00,y,0,10.445378ms,100.895218ms,174.610942554s,174.72228315s
010101111_010100_11,y,0,9.079911ms,101.045812ms,167.13550057s,167.245626293s
011011_101000_01000,y,0,8.730573ms,103.792836ms,178.581020894s,178.693544303s
1000100_011111_0100,y,0,9.441772ms,127.727591ms,187.745171229s,187.882340592s
0001010100_001111_1,y,0,8.232056ms,120.191365ms,194.23149168s,194.359915101s
1011011111_01111_00,y,0,10.393021ms,156.056711ms,207.990020982s,208.156470714s
01110010100000_00_1,y,0,10.533458ms,122.308735ms,194.874689868s,195.007532061s
0100000_111011_0000,y,0,8.784005ms,154.79555ms,212.520689165s,212.68426872s
0011100111_010000_1,y,0,11.319486ms,127.975408ms,213.876744427s,214.016039321s
011101111_1111_0100,y,0,9.093192ms,138.301732ms,194.338257057s,194.485651981s
0100100000_01011_00,y,0,10.073909ms,115.940034ms,173.083785562s,173.209799505s
01110010000100_00_1,y,0,8.905064ms,123.331522ms,191.137338202s,191.269574788s
011011000_010111_00,y,0,10.58241ms,108.617ms,193.451091901s,193.570291311s
010111110111_111_00,y,0,10.703419ms,146.087841ms,203.533445113s,203.690236373s
01000100100_1011_00,y,0,9.51084ms,123.740923ms,181.221340969s,181.354592732s
0101111_100111_0100,y,0,9.117277ms,116.110683ms,199.376005574s,199.501233534s
000011000_0111111_1,y,0,9.792441ms,160.05265ms,224.926522083s,225.096367174s
0100001000_001111_1,y,0,10.296657ms,140.349835ms,191.35086888s,191.501515372s
0100101000_1011_000,y,0,10.216231ms,117.91938ms,173.452818277s,173.580953888s
0111111010111_000_1,y,0,10.80672ms,147.14862ms,187.694868294s,187.852823634s
010010111_0101111_1,y,0,8.322909ms,100.539654ms,178.029288705s,178.138151268s
01111111_01101000_1,y,0,9.386691ms,121.857267ms,201.556971399s,201.688215357s
00011110111_01111_1,y,0,9.907615ms,145.859337ms,211.208948038s,211.36471499s
01101111_01111011_1,y,0,9.232472ms,116.344395ms,191.883106867s,192.008683734s
10000000100_0111_00,y,0,9.830272ms,145.013664ms,200.431012726s,200.585856662s
011000100_0011111_1,y,0,10.437414ms,126.296661ms,214.76184893s,214.898583005s
01101011000_00000_1,y,0,8.799593ms,124.326594ms,188.433802321s,188.566928508s
101100000_01111_000,y,0,10.073562ms,138.204367ms,202.339401536s,202.487679465s
00111011000_01000_1,y,0,10.616692ms,114.879843ms,197.031100139s,197.156596674s
01010111111_1111_00,y,0,10.568247ms,140.5471ms,205.35307593s,205.504191277s
11101111_0100000_00,y,0,10.867851ms,168.009903ms,204.37100558s,204.549883334s
0111101111_001111_1,y,0,9.950574ms,140.724532ms,202.323808474s,202.47448358s
0110001110111_000_1,y,0,9.792721ms,127.71972ms,211.585509156s,211.723021597s
011011_001000_00111,y,0,10.303571ms,119.063564ms,180.307832425s,180.43719956s
0110111011011_11_00,y,0,9.094565ms,125.611602ms,179.082472502s,179.217178669s
01111111_1101111_00,y,0,10.958817ms,161.867769ms,218.339212292s,218.512038878s
01101111_11011_0100,y,0,9.925021ms,120.649472ms,188.604950495s,188.735524988s
001000100_010000_11,y,0,10.490641ms,142.413125ms,194.773161632s,194.926065398s
01001000000_01111_1,y,0,8.723148ms,154.950009ms,183.527203239s,183.690876396s
101101111_011111_00,y,0,10.623591ms,154.165409ms,207.444983664s,207.609772664s
01110100000_01111_1,y,0,9.736028ms,119.856238ms,219.855662688s,219.985254954s
01001101111_0000_11,y,0,9.751438ms,147.741061ms,205.053728835s,205.211221334s
101011000_0111_0100,y,0,9.660754ms,101.984113ms,176.239018297s,176.350663164s
01011111011_111_000,y,0,8.868967ms,143.18054ms,190.964744112s,191.116793619s
0011010111_010000_1,y,0,9.132591ms,119.028902ms,180.359613722s,180.487775215s
011100111011_111_00,y,0,9.857561ms,127.801169ms,199.007028543s,199.144687273s
01110011011_01000_1,y,0,10.825973ms,114.502846ms,183.073682248s,183.199011067s
001101001000_0111_1,y,0,9.824254ms,116.777954ms,196.056376526s,196.182978734s
01101000_0100000_00,y,0,10.257359ms,107.926064ms,185.674153424s,185.792336847s
01010001000_111_000,y,0,9.464456ms,134.48715ms,182.347281996s,182.491233602s
01001111_1000100_00,y,0,9.425399ms,111.441386ms,192.935273904s,193.056140689s
00011000100_01111_1,y,0,10.732292ms,149.384625ms,212.56255785s,212.722674767s
01010111_00110000_1,y,0,8.411665ms,119.673149ms,192.000618716s,192.12870353s
000100100_0111_0000,y,0,10.232653ms,139.199612ms,195.897874993s,196.047307258s
0100111_001000_0111,y,0,9.935531ms,124.215607ms,193.585825372s,193.71997651s
010101101000_0111_1,y,0,8.960495ms,89.454529ms,171.52499185s,171.623406874s
01100110011011_00_1,y,0,8.721209ms,100.837995ms,187.921239536s,188.03079874s
0101001100000_000_1,y,0,9.075522ms,118.591024ms,191.547944806s,191.675611352s
