triad,polymorphism,backtracked,indicator_time,ac_time,search_time,total_time
011111_01000_11,y,0,3.761806ms,31.158381ms,20.656985582s,20.691905769s
010000_11011_00,y,0,3.909865ms,30.064577ms,20.678323704s,20.712298146s
110111_01111_00,y,0,3.596816ms,30.367419ms,21.112530989s,21.146495224s
0100100000_00_1,y,0,3.772296ms,29.702956ms,20.858773157s,20.892248409s
0100101000_00_1,y,0,3.796072ms,22.734554ms,17.925915466s,17.952446092s
0110111111_00_1,y,0,3.868744ms,33.56619ms,21.708627867s,21.746062801s
0111101011_00_1,y,0,3.665549ms,25.993477ms,19.234386779s,19.264045805s
011111_001000_1,y,0,4.120225ms,37.221984ms,21.616293742s,21.657635951s
0111011011_00_1,y,0,3.733002ms,26.919964ms,19.931834366s,19.962487332s
01101111_0111_1,y,0,3.798955ms,25.537213ms,21.251513235s,21.280849403s
0100000_1111_00,y,0,3.782955ms,36.014004ms,22.331613343s,22.371410302s
01111111_000_11,y,0,3.847054ms,38.755923ms,23.717290912s,23.759893889s
001000_1111_000,y,0,3.839903ms,33.360521ms,21.406003586s,21.44320401s
011011_000100_1,y,0,3.875744ms,27.39838ms,19.551468963s,19.582743087s
0111110111_00_1,y,0,3.850237ms,33.507473ms,21.761864315s,21.799222025s
0100111_0111_00,y,0,3.920296ms,22.936696ms,19.343354043s,19.370211035s
01101111_111_00,y,0,3.882425ms,31.879926ms,21.934998763s,21.970761114s
010001000_11_00,y,0,3.725383ms,29.66724ms,19.680738355s,19.714130978s
0011111_01000_1,y,0,3.878439ms,29.997327ms,22.038874601s,22.072750367s
00111_00000_011,y,0,3.903383ms,28.496294ms,21.52162093s,21.554020607s
001001000_000_1,y,0,3.839946ms,29.150721ms,20.165332303s,20.19832297s
01011111_0100_1,y,0,3.831721ms,27.257264ms,19.714870805s,19.74595979s
01010111_0000_1,y,0,3.678369ms,26.128358ms,18.692056309s,18.721863036s
